year,tourist_arrivals,tourist_arrivals_status,tourism_comprehensive_revenue,tourism_comprehensive_revenue_status,gdp,gdp_status,tertiary_industry_value_added,tertiary_industry_value_added_status,covid_dummy,gdp_definition_break_2019,core_missing_count
2001,,missing,,missing,75.45,official_actual,31.13,official_actual,0,0,2
2002,,missing,,missing,86.70,official_actual,35.52,official_actual,0,0,2
2003,,missing,,missing,102.47,official_actual,42.39,official_actual,0,0,2
2004,,missing,,missing,122.21,official_actual,51.00,official_actual,0,0,2
2005,,missing,,missing,145.20,official_actual,63.00,official_actual,0,0,2
2006,,missing,,missing,124.32,official_actual,45.18,official_actual,0,0,2
2007,,missing,,missing,130.96,official_actual,57.75,official_actual,0,0,2
2008,,missing,,missing,155.57,official_actual,96.78,official_actual,0,0,2
2009,,missing,,missing,176.31,official_actual,109.20,official_actual,0,0,2
2010,848,official_actual,35.5,official_actual,215.47,official_actual,136.23,official_actual,0,0,0
2011,1098.6,official_actual,46,official_actual,264.5,official_actual,165,official_actual,0,0,0
2012,1152,official_actual,52,official_actual,283.7,official_actual,169.3,official_actual,0,0,0
2013,1295,official_actual,63.2,official_actual,312.6,official_actual,185.2,official_actual,0,0,0
2014,1554,official_actual,79,official_actual,361.1,official_actual,212.91,official_actual,0,0,0
2015,1814.4,official_actual,94,official_actual,390.54,official_actual,243.02,official_actual,0,0,0
2016,2086.27,official_actual,109.6,official_actual,392.55,official_actual,228.44,official_actual,0,0,0
2017,2400,official_actual,130,official_actual,364.32,official_actual,213.38,official_actual,0,0,0
2018,2660,official_actual,142,official_actual,381.66,official_actual,234.32,official_actual,0,0,0
2019,2800,official_actual,165,official_actual,210.80,official_actual,129.92,official_actual,0,1,0
2020,1853.73,official_actual,103.4,official_actual,230.34,official_actual,141.6,official_actual,1,1,0
2021,,missing,110,official_actual,250.4,official_actual,151.52,official_actual,1,1,1
2022,,missing,160,official_actual,279.33,official_actual,164.78,official_actual,1,1,1
2023,2363,official_actual,191.5,official_actual,287.46,official_actual,179.87,official_actual,0,1,0
2024,2643,official_actual,221,official_actual,298.87,official_actual,183.97,official_actual,0,1,0
2025,2691,official_actual,200,official_actual,311.94,official_actual,195.17,official_actual,0,1,0
